AW08ÇÃéûì_Ç≈ÇÃéÊà¯èÛãµ	ç≈êVéÊà¯ÉVÅ[ÉYÉì	OBICä«óùÇÃÉuÉâÉìÉhó™èÃ	OBICä«óùÇÃÉuÉâÉìÉhCode	éÊçûópÉuÉâÉìÉhCode	BrandñºèÃ	Brand èZèä	Brand ìsés	Brand óXï÷î‘çÜ	Brand çëñº	Brand çëcd	tel	fax	Mobile	íSìñé“	íSìñé“EMAIL	âÔé–ñº	Shipperñº	Shipper çëñº	Shipper çëcd	í â›	éxï•èåèÅiBulkÅj	éxï•èåècd	DiscountÅiBulkÅj	Discount ä‹ÇﬁÅEä‹Ç‹Ç»Ç¢	éxï•èåè îıçl	éxï•Ç¢ó\íËã‡äzéZèoï˚ñ@			éxï•èåèÅiSampleÅj	éxï•èåècd	DiscountÅiBulkÅj	Discount ä‹ÇﬁÅEä‹Ç‹Ç»Ç¢																âﬂãéÇÃèÓïÒ		
*	SS08			2104	ALBERTO INCANUTI	"Via A.Novella, 3/5"	Rimini (RN)	47811	ITALY	ITA	39.0541.732732	39.0541.732652		Ombretta/Elisa	commerciale@vulpinari.it	M.G.VULPINARI SRL	M.G.VULPINARI SRL	ITALY	ITA	EUR	L/C 	51	5.00%	excluded		ETA	15	100	100% before shipment date 	15	0.00%	excluded	RTW	Concento	HPH					EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1023	L/C at sight	100% before shipment
continue		AL	2	2	ALCHIMIA	Via Degli Orefici/Blocco 27	Funo Di Argelato BO	40050	ITALY	ITA	39.051.863560	39.051.6646810		Ms.BILJANA	biljana@alchimia.eu	CREAZIONI M.G. SAS 	CREAZIONI M.G. SAS 	ITALY	ITA	EUR	50% 30days before shipment date 50% 30days after shipment date	43	10.00%	excluded		ETD	30	50	100% 30days after shipment date 	7	10.00%	excluded	BAG	Showroom	H.P.FRANCE BOUTIQUE					Tomoko Mori	sample05	Tomoko Mori	sample05	tomoko_mori@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	972	50%30days before shipment-50%30days after invoice date	30days after invoice date
continue				2001	ALEJANDRA QUESADA	Abasolo 157 Tlalpan 14 000			MEXICO	MEX	5255.565503	5255.565503		Alejandra	studio@alejandraquesada.com	Expression en Moda SA de C.V		MEXICO	MEX	USD	100% 14days after shipment date 	2	0.00%	excluded		ETD	14	100			0.00%	excluded	RTW	Lamp						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1381	100% 14days after delivery date	*
*	SS08			2002	ALENAAKHMADULLINA	"Trident Chambers, P.O. Box 146, Road Town"	Tortola		VIRGIN ISLANDS (BRITISH)	VGB	7.812.441.2941		Egor:7.495.980.8795	Egor	egor@alenaakhmadullina.com	ALENA LTD.	ALENA LTD.	FINLAND	FIN	EUR	30% at proforma invoice 70% before shipment date	37	3.00%	excluded		*	*	0				excluded	RTW	Concento						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1444	"30% on proforma, 70% before delivery"	*
continue				2003	ALESSANDRA MARCHI	"Via Nottolini, 320"	LUCCA (LU)	55100	ITALY	ITA	39.0583.419748	39.0583.419748		Lucia/Randa	rosesassi@libero.it	ROSE&SASSI di Alessandra Marchi	ROSE&SASSI	ITALY	ITA	EUR	L/C 	51	3.00%	excluded		ETA	15	100	100% before shipment date 	15	0.00%	excluded	RTW	Concento						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1529	L/C	100% before shipment
continue		AM	21	21	ALEX MONROE	9A Iliffe Yard	London	SE17 3QA	UNITED KINGDOM	GBR	020 7703 8507	020 7703 8507		Mr. Alex	agmonroe@aol.com	ALEX MONROE	ALEX MONROE	UNITED KINGDOM	GBR	GBP	100% 30days after shipment date 	7	8.00%	excluded		ETD	30	100	100% 30days after shipment date 	7	8.00%	excluded	ACC	Showroom						Tomoko Mori	sample05	Yoshiko Sakakibara	sample08	yoshiko_sakakibara@hpgrp.com	H.P.FRANCE LONDON BUREAU	+44 20 8363 9787	+44 20 8245 3275	812	30days after invoice date	30days after invoice date
continue		ALEX	99	99	ALEXANDRA FRANCOIS	35 rue du progrres	Montreuil	93100	FRANCE	FRA	33.(0)1.48.18.00.86	33.(0)1.48.18.00.86		Alexandra	alexandrafrancoisbijoux@gmail.com	ALEXANDRA FRANCOIS	ALEXANDRA FRANCOIS	FRANCE	FRA	EUR	30% at proforma invoice 70% after shipment date	36	3.00%	excluded		ETD	10	70	100% with main order's payment	16	0.00%	excluded	ACC	Usagi Pour Toi						Eri Wakabayashi	sample03	Eri Wakabayashi	sample03	eri_wakabayashi@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1024	30% Proforma 70% after delivery	paid with main order's payment
continue		ALMA	158	158	ALEXIS MABILLE	"Rue Parmentier, Impasse nÅã 13"	Sainte Foy Les Lyon	69110	FRANCE	FRA	04 78 59 16 71	04 72 16 99 24		Myrthe Mabille	myrthe@impasse13.com	IMPASSE 13	IMPASSE 13	FRANCE	FRA	EUR	30% at proforma invoice 70% after shipment date	36	0.00%	excluded		ETD	10	70			0.00%	excluded	ACC/BAG	H.P.FRANCE BIJOUX	Concento					Tomoko Mori	sample05	Yoshiko Sakakibara	sample08	yoshiko_sakakibara@hpgrp.com	H.P.FRANCE LONDON BUREAU	+44 20 8363 9787	+44 20 8245 3275	1469	30%proforma/70%after shipment	*
continue				2079	ALICE SAN DIEGO	"Via Fantelli, 17"	Parma	43100	ITALY	ITA	39.0521.798289	39.0521.798281		Alessandra	commerciale@alicesandiego.it	SORGENTI S.R.L.	SORGENTI S.R.L.	ITALY	ITA	EUR	30% at proforma invoice 70% before shipment date	37	3.00%	excluded		*	*	0	100% before shipment date 	15	0.00%	excluded	RTW	Concento						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1445	"30% on proforma, 70% before delivery"	100% before shipment
*	SS07	ARS	710	710	ALRIC SUBA	"808 Broadway, Suite 3J"	New York	NY 10003-4807	UNITED STATES	USA	917.568.2413	646.349.4896				Alric Suba LLC		UNITED STATES	USA	USD	30% at proforma invoice 70% 45days after shipment date	32	20.00%	excluded		ETD	45	70				excluded	RTW	Destination NY						AMERICASè¨ìáÇ≥ÇÒ	000037	Eiko Ishida	sample00	eiko_ishida@hpgrp.com	H.P.FRANCE NY Inc.	+1 212 727 3030	+1 212 727 7030	1364	30% on Proforma/70% '45days after Invoice date	*
*	AW07	AMT	234	234	AMATERASU	"Via Giulio Uberti, 24"	Milano	20129	ITALY	ITA	39.02.45.49.57.61	39.02.6556.1273		Norman 		ZERBY Srl	ZERBY Srl	ITALY	ITA	EUR	30% at proforma invoice 70% 14days after shipment date	25	3.00%	excluded		ETD	14	70	100% with main order's payment	16	0.00%	excluded	SHOES	H.P.FRANCE BOUTIQUE	Concento					EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1130	30%proforma/70%14days after delivery	paid with main order's payment
*	SS08	A+K	124	124	AN + KA	29 Rue des Petites Ecuries	Paris	75010	FRANCE	FRA	33.(0)1.42.08.87.81	33.(0)1.42.08.87.81	33.(0)6.63.14.33.69	Anne	contact@anpluska.fr	SARL QUE DU BONHEUR		FRANCE	FRA	EUR	50% at proforma invoice 50% after shipment date	49	0.00%	excluded		ETD	10	50				excluded	BAG	Showroom	goldie H.P.FRANCE					Eri Wakabayashi	sample03	Eri Wakabayashi	sample03	eri_wakabayashi@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1426	50% deposit /50% after delivery	*
continue		AND	773	773	AND	"Rua Had Doock Lobo, 1151 San Paolo"	San Paolo		BRAZIL	BRA	55.11.3063.2888	55.11.3083.0798				A.H.Confeccoes LTDA	A.H.Confeccoes LTDA	BRAZIL	BRA	USD	100% 45days after shipment date 	9	20.00%	excluded		ETD	45	100				excluded	RTW	Destination NY						AMERICASè¨ìáÇ≥ÇÒ	000037	Joao Santos	sample01	joao_santos@hpgrp.com	H.P.FRANCE NY Inc.	+1 212 727 3030	+1 212 727 7030	1376	45days after Invoice date	*
continue		ADR	749	749	ANDREA BRUECKNER	325 W 38th street. Suite 1407	New York	NY 10018	UNITED STATES	USA	917-545-7090	212-594-2151		Andrea		Andrea Brueckner International corp.		UNITED STATES	USA	USD	100% 45days after shipment date 	9	20.00%	excluded		ETD	45	100				excluded	RTW	Destination NY						AMERICASè¨ìáÇ≥ÇÒ	000037	Eiko Ishida	sample00	eiko_ishida@hpgrp.com	H.P.FRANCE NY Inc.	+1 212 727 3030	+1 212 727 7030	841	45days after Invoice date	*
*	SS07			2116	ANGELIKA PASCHBECK	Faustlestrasse 1 O	Munchen	80339	GERMANY	DEU	49.(0)89.50073671	49.(0)89.50073672	49.(0)172.8195446	Angelika	angelika@fummelundkram.com	Studio Fummelundkram	Studio Fummelundkram	GERMANY	DEU	EUR	50% at proforma invoice 50% 10days after shipment date	44	0.00%	excluded		ETD	10	50				excluded	RTW	WUT						Yann Le Goec	sample06	Yann Le Goec	sample06	yann_le_goec@hpgrp.com	H.P.FRANCE S.A.	+81 3 5489 0771	+81 3 5489 0772	1306	50%Payment in advance 50% 10days after delivery	*
continue				2080	ANGELO FIGUS	"Via Premaore, 57"	Camponogara (VE)	30010	ITALY	ITA	39.04.1462466	39.04.14174311		Mara / Stamatia	info@peronshoes.it	CALZATURIFICIO PERON S.R.L.		ITALY	ITA	EUR	30% at proforma invoice 70% before shipment date	37	2.00%	excluded		*	*	0				excluded	SHOES	H.P.FRANCE BOUTIQUE	Concento					EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1435	"30% deposit at proforma, 70% before delivery"	*
*	SS08			2081	ANGELOS FRENTZOS	"Via A.Novella, 3/5"	Rimini (RN)	47811	ITALY	ITA	39.0541.732732	39.0541.732652		Ombretta/Elisa	commerciale@vulpinari.it	M.G.Vulpinari SRL	M.G.Vulpinari SRL	ITALY	ITA	EUR	L/C 	51	5.00%	excluded		ETA	15	100	100% before shipment date 	15	0.00%	excluded		Concento						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1331	L/C at sight	100% before shipment
*	AW07	AV	108	108	ANNA VINCE	"Studio 6126 Bell Houe, 49 Greenwich High Road"	London	SE10 8JL	UNITED KINGDOM	GBR	44.77.34035450					ANNA VINCE LTD		UNITED KINGDOM	GBR	GBP	30% at proforma invoice 70% 10days after shipment date	24	0.00%	excluded		ETD	10	70				excluded	BAG	Theatre						Tomoko Mori	sample05	Yoshiko Sakakibara	sample08	yoshiko_sakakibara@hpgrp.com	H.P.FRANCE LONDON BUREAU	+44 20 8363 9787	+44 20 8245 3275	1388	30% Proforma 70% 10Days After Inv Date	*
*	SS07			518	ANNE KRISTIN BECKER	20 Rue Debelleyme	Paris	75003	FRANCE	FRA	33.(0)1.58 30 71 06	33.(0)1.58.30.71.06	33.(0)6.14.75.23.27		annekristinbecker@noos.fr	ANNE KRISTIN BECKER	ANNE KRISTIN BECKER	FRANCE	FRA	EUR	30% at proforma invoice 70% 15days after shipment date	27	2.00%	excluded		ETD	15	70	100% with main order's payment	16	0.00%	excluded	RTW	Usagi Pour Toi						Eri Wakabayashi	sample03	Eri Wakabayashi	sample03	eri_wakabayashi@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1269	30% Deposit / 70% 15days after inv date	with deposit
continue		ANK	188	188	ANNIKA	Wollmar Yxkullsgatan 5B	Stockholm	SE-118 50	SWEDEN	SWE	46.8.615.00.47	46.8.615.06.47	46-0708574780	Annika	annika@annikasjolendesign.nu	ANNIKA SJOLEN DESIGN	ANNIKA SJOLEN DESIGN	SWEDEN	SWE	EUR	100% 30days after shipment date 	7	3.00%	excluded		ETD	30	100	100% 30days after shipment date 	7	0.00%	excluded	ACC	Showroom						Tomoko Mori	sample05	Yoshiko Sakakibara	sample08	yoshiko_sakakibara@hpgrp.com	H.P.FRANCE LONDON BUREAU	+44 20 8363 9787	+44 20 8245 3275	814	30days after invoice date	30days after invoice date
continue				2004	ANNTIAN	Pflugerstrasse 55	Berlin	12047	GERMANY	DEU	49.(0)30.61744056		49.(0)174.9155270	A.Hilken	KONTAKT@ANNTIAN.DE	ANNTIAN GBR	ANNTIAN GBR	GERMANY	DEU	EUR	30% at proforma invoice 70% after receiving goods	35	13.00%	excluded		î¿ì¸ì˙	10	70				excluded	RTW	WUT						Yann Le Goec	sample06	Yann Le Goec	sample06	yann_le_goec@hpgrp.com	H.P.FRANCE S.A.	+81 3 5489 0771	+81 3 5489 0772	1307	"Advance payment 30%, 70% after receiving goods"	*
continue		ATP	528	528	ANTIPAST	"B-3, Villa Chanter, 3-33-11, Jingumae, Shibuya-ku"	Tokyo	150-0001	JAPAN	JPN	03.3479.4009	03.3479.4005		Ms. FunakoshiI/Nagahata	antipast@antipast.co.jp	COUPE DE CHAMPIGNON CO. LTD.	COUPE DE CHAMPIGNON CO. LTD.	JAPAN	JPN	JPY	100% 30days from end of month of shipment 	5	0.00%	excluded		ETD	30	100				excluded	ETC	Concento	H.P.FRANCE exclusive	Lamp	Usagi			exclusiveè¨ë∫Ç≥ÇÒ	000071	Miwa Omura	000071	miwa_omura@hpgrp.com	H.P.FRANCE S.A.	+81 3 5540 5091	+81 3 5778 2160	1110	ññí˜óÇññï•Ç¢	*
continue				2082	ANTONIO MARRAS	"Via Cassia, 69 Tavarnuzze"	Firenze	50029	ITALY	ITA	39.055-237201	39.055-2374288		Laura	commerciale@gibo-co.com	GIBO's Co. SPA	GIBO's Co. SPA	ITALY	ITA	EUR	30% at proforma invoice 70% before shipment date	37	0.00%	excluded		*	*	0				excluded	RTW	Concento						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1026	"30% on proforma, 70% before delivery"	*
continue		APL	147	147	APROSIO&CO	"Via Santo Spirito, 11Palazzo Frescobaldi"	Firenze	50125	ITALY	ITA	39.055.290534	39.055.2728089		Katja Sowada	export@aprosio.it	APROSIO&CO SAS	APROSIO&CO SAS	ITALY	ITA	EUR	100% 30days after shipment date 	7	3.00%	excluded		ETD	30	100	100% with main order's payment	16	0.00%	excluded	ACC	goldie H.P.FRANCE	H.P.FRANCE BIJOUX	H.P.FRANCE BOUTIQUE	Concento			Tomoko Mori	sample05	Tomoko Mori	sample05	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	974	30days after invoice date	paid with main order's payment
*	SS07	AQA	723	723	AQUA VI	9169 Sunset Blve.	W.Hollywood	CA 90069	UNITED STATES	USA	310-274-2524	310-274-2534		Celeste Smith		Beyond Blue Inc		UNITED STATES	USA	USD	100% after shipment date 	13	15.00%	excluded		ETD	10	100				excluded	RTW	Denim						AMERICASè¨ìáÇ≥ÇÒ	000037	Eiko Ishida	sample00	eiko_ishida@hpgrp.com	H.P.FRANCE NY Inc.	+1 212 727 3030	+1 212 727 7030	1362	COD	*
continue		HPBQ	261	3014	Arielle de Pinto	"6074 rue Hutchison,H2V 4C2"	"Montreal,Quebec "		CANADA	CAN	1.646.419.4540	1 877.565.8082		Mary-Catharine	mcat@arielledepinto.com	Arielle de Pinto Jewelry		CANADA	CAN	USD	50% at proforma invoice 50% 30days after shipment date	46	10.00%	excluded		ETD	30	50				excluded	ACC	H.P.FRANCE BOUTIQUE						EUã∆ñ±ïîóÈñÿÇ≥ÇÒ	000115	Eriko Suzuki	000115	eriko_suzuki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1510	"50% deposit, 50% net 30days"	*
continue				2083	ARIS GELDIS	9 Rue de tracy 75002 Paris	Paris	75002	FRANCE	FRA	33.(0)1.46.36.11.14	33.(0)1.47.97.34.55		Attanasio	arisgeldis@noos.fr	ARIS GELDIS	ARIS GELDIS	FRANCE	FRA	EUR	100% 10days after shipment date 	1	5.00%	excluded		ETD	10	100	100% with main order's payment	16	0.00%	excluded	ACC	Concento						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	1417	After Delivery at 10days	paid with main order's payment
continue		ARI	235	235	ARISTOLASIA	Via Isonzo 42/A	Roma	00198	ITALY	ITA	39.02.37059811	39.02.37059885		Cristina	sakane@gol.com	ARISTOLASIA DESIGN SRL	ARISTOLASIA GALERIA	ITALY	ITA	EUR	30% at proforma invoice 70% after receiving goods	35	0.00%	excluded		î¿ì¸ì˙	10	70	100% with main order's payment	16	0.00%	excluded	BAG	goldie H.P.FRANCE	Theatre	H.P.FRANCE BOUTIQUE				Tomoko Mori	sample05	Tomoko Mori	sample05	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	975	30%proforma/70%receiveing goods in Japan	paid with proforma
continue				2005	ART ET FLORITUDE	"Z.A. ""Les Ouches"" Route de Santranges"	Beaulieu sur Loire	45630	FRANCE	FRA	33.(0)2.38.55.88.25	33.(0)2.38.35.80.04				ART ET FLORITUDE		FRANCE	FRA	EUR	100% at proforma invoice 	14	0.00%	excluded		*	*	0				excluded	DECO	Deco						DECOíÜì°Ç≥ÇÒ	000116	Takashi Yokoyama 	sample04	takashi_yokoyama@hpgrp.com	H.P.FRANCE S.A.R.L.	+33 1 4297 5303	+33 1 4297 5909	1492	100% on Proforma	*
*	AW07			2117	ASKI KATASKI	24 rue Saint Martin	Paris	75004	FRANCE	FRA	33.(0)1.42.40.02.42	33.(0)1.42.40.02.42		Katsuhiro Makino	Askik@aol.com	KATSUHIRO MAKINO	ASKI KATASKI	FRANCE	FRA	EUR	100% 30days from end of month of shipment 	5	0.00%	excluded		ETD	30	100			0.00%	excluded	RTW	Lamp						EUã∆ñ±ïîàÓä_Ç≥ÇÒ	000092	Yumi Inagaki	000092	yumi_inagaki@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	888	100% END OF MONTH AFTER 30DAYS FROM DELIVERY DATE	*
continue				404	ASTIER DE VILLATTE	107 Avenue Daumensnil	Paris	75012	FRANCE	FRA	33.(0)1.43.45.72.72	33.(0)1.43.45.77.30		Marine		ASTIER DE VILLATTE SARL	ASTIER DE VILLATTE SARL	FRANCE	FRA	EUR	100% after shipment date 	13	0.00%	excluded		ETD	10	100	100% before shipment date 	15	0.00%	excluded	DECO	Deco						DECOíÜì°Ç≥ÇÒ	000116	Takashi Yokoyama 	sample04	takashi_yokoyama@hpgrp.com	H.P.FRANCE S.A.R.L.	+33 1 4297 5303	+33 1 4297 5909	1075	100% after Delivery	100% before shipment
continue		AGV	12	12	ATELIER GERALDINE VALLUET	5 Rue Houdon	Paris	75018	FRANCE	FRA	33.(0)1.42.52.29.63	33.(0)1.42.52.29.65		Anouk ANCILLON	agv_paris@yahoo.fr	C'EST AUDELA	ATELIER GERALDINE VALLUET	FRANCE	FRA	EUR	100% 30days from end of month of shipment 	5	15.00%	excluded		ETD	30	100	100% 30days from end of month of shipment 	5	15.00%	excluded	ACC	Showroom	Kioku	H.P.FRANCE BOUTIQUE				Eri Wakabayashi	sample03	Eri Wakabayashi	sample03	eri_wakabayashi@hpgrp.com	H.P.FRANCE S.A.	+81 3 5778 2023	+81 3 5778 2024	906	30days end of month after shipment date	30days end of month after shipment date
